Magnitude,Date,Year,Month,Day,Northing,Easting,Depth,snr
1.344886485,8:58:23 PM,2017,10,18,-8.287174,115.48453,-1458,2.79646327
2.019387343,8:58:36 PM,2017,10,18,-8.295838,115.477767,-9315,4.865395259
1.696027735,9:00:53 PM,2017,10,18,-8.287698,115.486239,-1254,7.843535307
2.27600484,9:03:03 PM,2017,10,18,-8.307197,115.441463,-9389,13.40017627
1.53430253,9:06:24 PM,2017,10,18,-8.326665,115.402816,-4453,3.15936987
1.940482412,9:07:39 PM,2017,10,18,-8.32862,115.402702,-4256,6.902266842
1.534418463,9:08:21 PM,2017,10,18,-8.299374,115.470321,-9630,3.778243964
2.035322286,9:08:39 PM,2017,10,18,-8.328853,115.40249,-4345,8.310859109
1.649026308,9:16:01 PM,2017,10,18,-8.296519,115.420752,-7434,2.917163161
1.859113925,9:16:44 PM,2017,10,18,-8.307103,115.420174,-8160,2.759315941
2.190227066,9:17:20 PM,2017,10,18,-8.294716,115.474129,-9028,11.31273035
1.645920358,9:20:11 PM,2017,10,18,-8.327576,115.40026,-4625,2.605621996
1.788189819,9:23:27 PM,2017,10,18,-8.302855,115.406185,-8965,2.390202987
1.829521851,9:26:19 PM,2017,10,18,-8.261226,115.488615,-6558,2.624758819
1.65312694,9:27:26 PM,2017,10,18,-8.302337,115.487899,-9764,3.443433476
1.92552521,9:33:32 PM,2017,10,18,-8.310726,115.397673,-5928,4.062534569
1.641715752,9:35:03 PM,2017,10,18,-8.328578,115.400895,-4143,4.084369502
2.053488122,9:36:57 PM,2017,10,18,-8.32524,115.400049,-5703,10.16608306
1.509414194,9:41:25 PM,2017,10,18,-8.296761,115.472046,-9977,2.670335865
1.782192834,9:42:35 PM,2017,10,18,-8.300409,115.457251,-9995,3.665318454
2.303609636,9:43:23 PM,2017,10,18,-8.330479,115.399097,-3988,33.57479279
1.821792233,9:44:16 PM,2017,10,18,-8.334767,115.403304,-2439,3.749234401
1.578470309,9:47:14 PM,2017,10,18,-8.326689,115.401766,-4565,2.71787275
